ID,Target_AUC,Target_LogLoss
ID_KYO5JS,0,0
ID_846C1K,0,0
ID_1QA7GX,0,0
ID_VSQGAP,0,0
ID_HEHIE4,0,0
ID_BKHQGQ,0,0
ID_SI8VMK,0,0
ID_HNS70E,0,0
ID_ETU38Z,0,0
ID_SDU2MK,0,0
ID_PSJ56U,0,0
ID_L9N6FI,0,0
ID_9NWUX5,0,0
ID_Z9LDI4,0,0
ID_EMB3YR,0,0
ID_AD2Z2I,0,0
ID_A253MN,0,0
ID_JW68C6,0,0
ID_NY5B75,0,0
ID_WTJBE7,0,0
ID_1VE2PK,0,0
ID_LBMDQF,0,0
ID_543ZJJ,0,0
ID_GP6BAA,0,0
ID_L8YDDV,0,0
ID_VK9JQ9,0,0
ID_QCEUSM,0,0
ID_1EOHG3,0,0
ID_1SUC8X,0,0
ID_YH63DA,0,0
ID_RPKKMG,0,0
ID_HY1EDU,0,0
ID_JRD60K,0,0
ID_HFZPCT,0,0
ID_TJF5P2,0,0
ID_QNX47N,0,0
ID_BEDC46,0,0
ID_XHC5MU,0,0
ID_QP9JGO,0,0
ID_6Y5MES,0,0
ID_PTHBXO,0,0
ID_ODEWF6,0,0
ID_W3CKAL,0,0
ID_OSNK22,0,0
ID_39BES2,0,0
ID_607C5P,0,0
ID_5HFBYV,0,0
ID_YVVZQW,0,0
ID_GYCVH7,0,0
ID_38DUPE,0,0
ID_SVQVZ8,0,0
ID_06HPYP,0,0
ID_IVID3M,0,0
ID_NTT4KF,0,0
ID_5JWUM2,0,0
ID_LL3FRN,0,0
ID_IEBEBG,0,0
ID_TZ7IAB,0,0
ID_EQA0B0,0,0
ID_KYO1KH,0,0
ID_QGDNDM,0,0
ID_578X6N,0,0
ID_MXVCAW,0,0
ID_267TP6,0,0
ID_MRR0TS,0,0
ID_1WGQY9,0,0
ID_WYHB8F,0,0
ID_GCWVT8,0,0
ID_312OV5,0,0
ID_V065NO,0,0
ID_XV7GPE,0,0
ID_Q7W80N,0,0
ID_2PH6R4,0,0
ID_FTTF9L,0,0
ID_DVIXNS,0,0
ID_PHUESI,0,0
ID_YAEJFI,0,0
ID_6K1D9N,0,0
ID_O642AJ,0,0
ID_I8S4GQ,0,0
ID_IU2SC0,0,0
ID_P47KOX,0,0
ID_HD12RR,0,0
ID_WA6I1X,0,0
ID_I4RDU9,0,0
ID_Z6CS3W,0,0
ID_VT7XPC,0,0
ID_PVTGR1,0,0
ID_ZDBVWM,0,0
ID_6JSDRO,0,0
ID_EP5QVA,0,0
ID_HLJ82N,0,0
ID_RR0UN0,0,0
ID_SDT0TW,0,0
ID_H7VOZJ,0,0
ID_J4P8KN,0,0
ID_OOKZVY,0,0
ID_NXXS2F,0,0
ID_6O49IY,0,0
ID_UX8JL4,0,0
ID_A3TKBR,0,0
ID_25L48D,0,0
ID_WZ7C87,0,0
ID_RA2R9J,0,0
ID_PMBZET,0,0
ID_5VAKXA,0,0
ID_PEG871,0,0
ID_F8WR08,0,0
ID_NLNAO1,0,0
ID_D3FNCG,0,0
ID_D5QYXA,0,0
ID_8SEE30,0,0
ID_3U7LJ8,0,0
ID_V65EQY,0,0
ID_SVI1AY,0,0
ID_C78508,0,0
ID_JX2UVJ,0,0
ID_VBMM8K,0,0
ID_175A2Z,0,0
ID_4K4GGQ,0,0
ID_4IW51S,0,0
ID_TOSFJA,0,0
ID_865R0X,0,0
ID_YRIH3X,0,0
ID_AQQ47I,0,0
ID_0IA0ZO,0,0
ID_5WIP8T,0,0
ID_LFAIAD,0,0
ID_NT27W4,0,0
ID_UCGMAZ,0,0
ID_1ZI6RX,0,0
ID_RNWQYC,0,0
ID_OJW44K,0,0
ID_67ZF4T,0,0
ID_Y8NPOD,0,0
ID_4LP5ZC,0,0
ID_N3BNVF,0,0
ID_F0WBOA,0,0
ID_BWTZHC,0,0
ID_UPUNXB,0,0
ID_E05R3B,0,0
ID_00KWEY,0,0
ID_U5CEN4,0,0
ID_87B47O,0,0
ID_D8P087,0,0
ID_P0KYD5,0,0
ID_RQL5OE,0,0
ID_YAUFLE,0,0
ID_SBBLNK,0,0
ID_XLW078,0,0
ID_GBFIO8,0,0
ID_ZPV5XX,0,0
ID_950U5A,0,0
ID_T2AVP1,0,0
ID_O76UN6,0,0
ID_U5LK59,0,0
ID_Q13VNW,0,0
ID_SE2H20,0,0
ID_5HIP1X,0,0
ID_ORESVW,0,0
ID_S0LKSF,0,0
ID_1459JI,0,0
ID_LSN5AY,0,0
ID_I41TRQ,0,0
ID_J0UIOP,0,0
ID_O12XC4,0,0
ID_ZCRK82,0,0
ID_SJ59V9,0,0
ID_7VZ9X5,0,0
ID_3Y9NJ1,0,0
ID_6FVL5Q,0,0
ID_E67WFM,0,0
ID_MJKKYF,0,0
ID_KX4H5M,0,0
ID_K2ID75,0,0
ID_5AL4OW,0,0
ID_4KNU2J,0,0
ID_LGXOFC,0,0
ID_B7VVND,0,0
ID_2EDM5S,0,0
ID_H7URDV,0,0
ID_X2IT1Y,0,0
ID_BGRR07,0,0
ID_567AIS,0,0
ID_9DI5XM,0,0
ID_HR3HP5,0,0
ID_N858YJ,0,0
ID_G1U2K8,0,0
ID_3LT98H,0,0
ID_OXBFSG,0,0
ID_KMT3OS,0,0
ID_VM8HPK,0,0
ID_AKR98K,0,0
ID_Y4NTFL,0,0
ID_0BSJX2,0,0
ID_8VTWO1,0,0
ID_EHC0WO,0,0
ID_Y79FMP,0,0
ID_F64KIZ,0,0
ID_XKK4H3,0,0
ID_5RDJQ5,0,0
ID_YQ9SW4,0,0
ID_F3W2FX,0,0
ID_A4L9CI,0,0
ID_QFH90M,0,0
ID_ID5QNF,0,0
ID_0PNONV,0,0
ID_6WELC3,0,0
ID_XBWRBH,0,0
ID_GXTLPX,0,0
ID_N4JUR0,0,0
ID_2CPS5B,0,0
ID_1LKE8I,0,0
ID_IC72LK,0,0
ID_NJS6RD,0,0
ID_7W2TNS,0,0
ID_OEH3IN,0,0
ID_EZAQXS,0,0
ID_USJ86W,0,0
ID_BJGR01,0,0
ID_VSYQSW,0,0
ID_GQ34LU,0,0
ID_EPN2EF,0,0
ID_II8VRV,0,0
ID_PGNL7Q,0,0
ID_6O23Z0,0,0
ID_JT7GIJ,0,0
ID_LAMPFY,0,0
ID_LCHM9F,0,0
ID_PAR618,0,0
ID_XRA2I5,0,0
ID_C8MKFZ,0,0
ID_9THSEU,0,0
ID_A25BDE,0,0
ID_7GX8R8,0,0
ID_J8SXEG,0,0
ID_877BNG,0,0
ID_1ZWRY1,0,0
ID_FMPXVZ,0,0
ID_4XNQJG,0,0
ID_L1XFKC,0,0
ID_KNAJ24,0,0
ID_B7Z167,0,0
ID_RSWLY3,0,0
ID_KXMG5A,0,0
ID_XQQK3U,0,0
ID_1SZ4EZ,0,0
ID_LN4SIQ,0,0
ID_MJNCXK,0,0
ID_U2HHMG,0,0
ID_XPD1RI,0,0
ID_XFBRQE,0,0
ID_XLJFHR,0,0
ID_7KLOQ9,0,0
ID_XTAQCF,0,0
ID_4IB5YJ,0,0
ID_JRHCM4,0,0
ID_0FCWV6,0,0
ID_73SOZ5,0,0
ID_T6AEX9,0,0
ID_8YGS3A,0,0
ID_JVFD3C,0,0
ID_UTA4UL,0,0
ID_Y6VNF9,0,0
ID_8CFT55,0,0
