ID,gender,age,registration,belong_to_cooperative,county,subcounty,ward,trainer,first_training_date,topics_list,num_trainings_30d,num_trainings_60d,num_total_trainings,num_repeat_trainings,days_to_second_training,num_unique_trainers,adopted_within_120_days,has_second_training
ID_QB363K,Female,Above 35,Ussd,1,Siaya,Alego Usonga,South East Alego,trainer_name_5,2024-07-07,"['Biosecurity In Poultry Farming,Calf Feeding,Feeding A Lactating Cow']",1.0,1.0,1,0,,1,0,0
ID_J75OZ4,Female,Below 35,Ussd,0,Nandi,Chesumei,Lelmokwo Ngechek,trainer_name_3,2024-07-26,"['Calf Feeding,How To Rear A Calf With Unga Products,Transition Cow Management- Care For Your Cow 3 Weeks Before And After Calving']",1.0,1.0,1,0,,1,0,0
ID_XNRC9L,Female,Below 35,Ussd,0,Bungoma,Bumula,Kimaeti,trainer_name_2,2024-07-29,"['Antimicrobial Resistance,Deworming Your Dairy Animal,Herd Health Management.,Herd Health Practices With Biodeal Products.,How To Rear Healthy Chicken With Biodeal.,Infertility In Dairy Cows,Poultry Health Management.,Poultry Management Practises.,The Benefits Of Ndume App']",1.0,1.0,1,0,,1,0,0
ID_LHM54K,Female,Above 35,Ussd,1,Siaya,Alego Usonga,Siaya Township,trainer_name_5,2024-07-27,"['Biosecurity In Poultry Farming,Calf Feeding,Feeding A Lactating Cow']",1.0,1.0,1,0,,1,0,0
ID_G2K3CA,Male,Above 35,Ussd,1,Nandi,Chesumei,Lelmokwo Ngechek,trainer_name_3,2024-07-24,"['Biosecurity In Poultry Farming,Calf Feeding,Feeding A Lactating Cow,How To Feed Kienyeji Chicken For Meat']",1.0,1.0,1,0,,1,0,0
ID_0J1NPQ,Male,Above 35,Manual,0,Nandi,Mosop,Ndalat,trainer_name_3,2024-07-12,"['Asili Fertilizer (Organic),Calf Feeding,Dairy Nutrition With Tyari,How To Feed Kienyeji Chicken For Meat,How To Rear A Calf With Unga Products,Importance Of Choosing The Right Seed Variety,Poultry And Dairy Feeding With Tyari Feeds,Transition Cow Management- Care For Your Cow 3 Weeks Before And After Calving']",1.0,1.0,1,0,,1,0,0
ID_8KMMKB,Male,Above 35,Ussd,1,Nandi,Chesumei,Lelmokwo Ngechek,trainer_name_3,2024-07-24,"['Biosecurity In Poultry Farming,Calf Feeding,Feeding A Lactating Cow,How To Feed Kienyeji Chicken For Meat']",1.0,1.0,1,0,,1,0,0
ID_2UXP0M,Female,Above 35,Ussd,0,Siaya,Ugunja,Ugunja,trainer_name_5,2024-07-08,"['Biosecurity In Poultry Farming,Calf Feeding,Feeding A Lactating Cow']",1.0,1.0,1,0,,1,0,0
ID_1PQJW7,Male,Below 35,Ussd,0,Siaya,Alego Usonga,Siaya Township,trainer_name_5,2024-07-09,"['Biosecurity In Poultry Farming,Calf Feeding,Feeding A Lactating Cow']",1.0,1.0,1,0,,1,0,0
ID_9GS009,Female,Below 35,Ussd,1,Siaya,Alego Usonga,South East Alego,trainer_name_5,2024-07-07,"['Biosecurity In Poultry Farming,Calf Feeding,Feeding A Lactating Cow']",1.0,1.0,1,0,,1,0,0
ID_4I38MJ,Female,Below 35,Ussd,1,Siaya,Alego Usonga,South East Alego,trainer_name_5,2024-07-07,"['Calf Feeding,Feeding A Lactating Cow,Milking Hygiene,Poultry Diseases And Biosecurity']",1.0,1.0,1,0,,1,0,0
ID_KDV17G,Male,Above 35,Ussd,1,Nandi,Chesumei,Lelmokwo Ngechek,trainer_name_3,2024-07-26,"['Calf Feeding,How To Feed Kienyeji Chicken For Meat,How To Rear A Calf With Unga Products,Transition Cow Management- Care For Your Cow 3 Weeks Before And After Calving']",1.0,1.0,1,0,,1,0,0
ID_RA4HRF,Male,Below 35,Ussd,0,Siaya,Alego Usonga,West Alego,trainer_name_5,2024-07-10,"['Biosecurity In Poultry Farming,Calf Feeding,Feeding A Lactating Cow']",1.0,1.0,1,0,,1,0,0
ID_0MXV71,Male,Above 35,Ussd,0,Nandi,Chesumei,Lelmokwo Ngechek,trainer_name_3,2024-07-25,"['Biosecurity In Poultry Farming,Feeding A Lactating Cow']",1.0,1.0,1,0,,1,0,0
ID_TP7FG5,Male,Above 35,Manual,0,Bungoma,Kanduyi,Musikoma,trainer_name_2,2024-07-15,"['Herd Health Management.,Poultry Health Management.,Poultry Management Practises.,The Benefits Of Ndume App']",1.0,1.0,1,0,,1,0,0
ID_6559JJ,Female,Above 35,Ussd,1,Siaya,Alego Usonga,Central Alego,trainer_name_5,2024-07-23,"['Biosecurity In Poultry Farming,Calf Feeding,Feeding A Lactating Cow']",1.0,1.0,1,0,,1,0,0
ID_QUXWF1,Female,Above 35,Ussd,1,Siaya,Ugunja,Ugunja,trainer_name_5,2024-07-08,"['Biosecurity In Poultry Farming,Calf Feeding,Feeding A Lactating Cow,Milking Hygiene,Personal Protective Equipment (Ppe),Poultry Diseases And Biosecurity']",1.0,1.0,1,0,,1,0,0
ID_W82S1E,Male,Above 35,Ussd,0,Nandi,Chesumei,Lelmokwo Ngechek,trainer_name_3,2024-07-25,"['Biosecurity In Poultry Farming,Feeding A Lactating Cow,How To Feed Kienyeji Chicken For Meat']",1.0,1.0,1,0,,1,0,0
ID_EGG9B2,Female,Below 35,Ussd,0,Siaya,Gem,Central Gem,trainer_name_5,2024-07-31,"['Biosecurity In Poultry Farming,Calf Feeding,Feeding A Lactating Cow']",1.0,1.0,1,0,,1,0,0
ID_PLWP85,Female,Above 35,Ussd,0,Siaya,Alego Usonga,Siaya Township,trainer_name_5,2024-07-30,"['Biosecurity In Poultry Farming,Calf Feeding,Feeding A Lactating Cow,Milking Hygiene,Personal Protective Equipment (Ppe),Poultry Diseases And Biosecurity']",1.0,1.0,1,0,,1,0,0
ID_XFRVEA,Male,Above 35,Ussd,0,Bungoma,Bumula,Kimaeti,trainer_name_2,2024-07-23,"['Herd Health Management.,Poultry Health Management.,The Benefits Of Ndume App,Why You Should Vaccinate Your Animals']",1.0,1.0,1,0,,1,1,0
ID_SX8SIK,Male,Below 35,Ussd,0,Bungoma,Bumula,Kimaeti,trainer_name_2,2024-07-29,"['Herd Health Practices With Biodeal Products.,How To Rear Healthy Chicken With Biodeal.,Poultry Health Management.,Poultry Management Practises.']",1.0,1.0,1,0,,1,0,0
ID_Z3VKWC,Female,Above 35,Ussd,1,Siaya,Alego Usonga,North Alego,trainer_name_5,2024-07-14,"['Biosecurity In Poultry Farming,Calf Feeding,Feeding A Lactating Cow']",1.0,1.0,1,0,,1,0,0
ID_JI8ZF5,Male,Below 35,Ussd,0,Siaya,Gem,Central Gem,trainer_name_5,2024-07-31,"['Biosecurity In Poultry Farming,Calf Feeding']",1.0,1.0,1,0,,1,0,0
ID_XNCG55,Male,Above 35,Ussd,0,Bungoma,Bumula,Kimaeti,trainer_name_2,2024-07-24,"['Herd Health Management.,Poultry Health Management.,Poultry Management Practises.,The Benefits Of Ndume App']",1.0,1.0,1,0,,1,0,0
ID_7FCKLD,Female,Above 35,Ussd,1,Siaya,Alego Usonga,Central Alego,trainer_name_5,2024-07-16,"['Biosecurity In Poultry Farming,Calf Feeding,Feeding A Lactating Cow']",1.0,1.0,1,0,,1,0,0
